Domanda;A;B;C;D;Risposta
A 01. A quali sistemi si riferisce il termine Industria 4.0?;A sistemi di automazione delle produzioni, resi possibili dall'uso della tecnologia dell’Internet of Things che consente di connettere tra loro impianti virtuali;A sistemi di automazione delle produzioni, resi possibili dall'uso della tecnologia dell’Internet of Things che consente di connettere tra loro impianti fisici per lo scambio in rete di informazioni sotto forma di dati.;A sistemi di automazione delle produzioni, resi possibili dall'uso di apparecchiature elettriche che consentono di connettere tra loro impianti fisici per lo scambio in rete di informazioni sotto forma di dati.;tutte le altre risposte sono errate;B
A 02. Chi fu il primo a dare la definizione di Smart Factory?;Kolberg e Zühlke;Kolerg;Zühlke;tutte le altre risposte sono errate;A
A 03. Quale tra queste è la definizione più corretta dei Sistemi cyber-fisici?;Sistema informatico in grado di interagire in modo continuo con il sistema vituale in cui opera;Sistema informatico in grado di interagire in modo continuo con il sistema fisico e vituale in cui opera;Sistema informatico in grado di interagire in modo continuo con il sistema fisico in cui opera;tutte le altre risposte sono errate;C
A 04. Cosa si intende per Smart Factory?;Fabbrica costituita da macchine, prodotti e operatori intelligenti, in un sistema integrato cyber-fisico;tutte le altre risposte sono errate;Fabbrica costituita operatori intelligenti, in un sistema integrato cyber-fisico;Fabbrica costituita da macchine e robot in un sistema integrato cyber-fisico;A
A 05. La quarta rivoluzione scautirisce da novità in quali campi?;Campo fisico e meccanico;Campo razionale e irrazionale;tutte le altre risposte sono errate;Campo scientifico e tecnologico;D
A 06. Quali incentivi fiscali prevede la Legge di bilancio del 2020 per il Piano impresa 4.0?;Super ammortamento;tutte le altre risposte sono errate;Credito d’imposta;Iper ammortamento e superammortamento;C
A 07. Dove e quando ebbe origine la prima rivoluzione industriale?;Ebbe origine in Inghilterratra il 1760 e il 1830;tutte le altre risposte sono errate;Ebbe origine in Germania tra il 1760 e il 1830;Ebbe origine negli Stati Uniti tra il 1760 e il 1830;A
A 08. Da quando viene fatta partire la seconda rivoluzione industriale?;Viene fatta convenzionalmente partire dal 1870;Viene fatta convenzionalmente partire dal 1850;Viene fatta convenzionalmente partire dal 1831;tutte le altre risposte sono errate;A
A 09. Un CPS è un sistema composto da elementi fisici che riunisce?;tutte le altre risposte sono errate;"Le ""tre C"": capacità computazionale, comunicazione e capacità di controllo.";"Le ""tre C"": capacità computazionale, co-marketing e capacità di controllo";"Le ""tre C"": capacità computazionale, comunicazione e capacità di coesione.";B
A 10. Quando è stato introdotto per la prima volta il termine Industria 4.0?;Nel 2011 da in Germania, durante la fiera di Hannover;Nel 2011 da in Germania, durante la fiera di Monaco;tutte le altre risposte sono errate;Nel 2011 da in Germania, durante un convegno internazionale;A
A 11. Cosa si intende per tecnologie abilitanti?;Tecnologie “ad alta intensità di conoscenza e associate a elevata intensità di R&S, a cicli di innovazione rapidi, a consistenti spese di investimento e a posti di lavoro altamente qualificati;tutte le altre risposte sono errate;Tecnolgie che abilitano a determinati processi produttivi;Tecnolgie che abilitano a determinati servizi;A
A 12. Cosa si intende per big data analytics?;tutte le altre risposte sono errate;Insieme di grandi server interconessi;Processo di raccolta e analisi di grandi volumi di dati (big data) per estrarre informazioni nascoste;Processo di raccolta e analisi di grandi volumi di dati (big data);C
A 13. Cosa sono gli Autonomous Robots;tutte le altre risposte sono errate;Robot che esegue comportamenti o compiti con un alto grado di autonomiama;Robot che esegue comportamenti o compiti con un alto grado di autonomiama con l' influenza esterna.;Robot che esegue comportamenti o compiti con un alto grado di autonomia e senza influenza esterna.;D
A 14. Come viene definita la System Integration?;Processo atto a coordinare tutti i sottosistemi, componenti di un unico grande sistema, affinché collaborino, e il sistema sia in grado di fornire una funzionalità generale;Sistemi integrati utilizzati per attività di marketing;Processo atto a coordinare tutti i sottosistemi, componenti di un unico grande sistema;tutte le altre risposte sono errate;A
A 15. Cosa si intende per Vertical System Integration ?;Processo d'integrazione dei sottosistemi;tutte le altre risposte sono errate;Processo d'integrazione di sistemi in base alla loro funzionalità;Processo d'integrazione dei sottosistemi in base alla loro funzionalità;D
